Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
177,"Egg, goose, whole, fresh, raw",100 grams,5.1mcg,(213% DV),Standard Release
178,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.1mcg,(212% DV),Standard Release
179,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",100 grams,5.1mcg,(210% DV),Standard Release
180,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5mcg,(210% DV),Standard Release
181,"Ostrich, tenderloin, raw",100 grams,5mcg,(210% DV),Standard Release
182,"Beef, variety meats and by-products, spleen, cooked, braised",100 grams,5mcg,(209% DV),Standard Release
183,"Ostrich, round, raw",100 grams,5mcg,(209% DV),Standard Release
184,"Mollusks, clam, mixed species, canned, liquid",100 grams,5mcg,(208% DV),Standard Release
185,"Ostrich, tip trimmed, raw",100 grams,5mcg,(208% DV),Standard Release
186,"Ostrich, fan, raw",100 grams,5mcg,(207% DV),Standard Release
187,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",100 grams,5mcg,(207% DV),Standard Release
188,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5mcg,(206% DV),Standard Release
189,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,4.9mcg,(206% DV),Standard Release
190,"Ostrich, top loin, raw",100 grams,4.9mcg,(206% DV),Standard Release
191,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,4.9mcg,(205% DV),Standard Release
192,"Ostrich, oyster, raw",100 grams,4.9mcg,(205% DV),Standard Release
193,"Veal, variety meats and by-products, spleen, cooked, braised",100 grams,4.8mcg,(201% DV),Standard Release
194,"Fish, salmon, pink, cooked, dry heat",100 grams,4.7mcg,(197% DV),Standard Release
195,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",100 grams,4.7mcg,(197% DV),Standard Release
196,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",100 grams,4.7mcg,(196% DV),Standard Release
197,"Fish, salmon, sockeye, raw",100 grams,4.7mcg,(195% DV),Standard Release
198,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,4.7mcg,(195% DV),Standard Release
199,"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",100 grams,4.7mcg,(194% DV),Standard Release
200,"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",100 grams,4.6mcg,(193% DV),Standard Release
